DATE,sp500,ret_1m,ret_1m_next,firstdiff_1m,vol_3m,vol_6m,ret_1m_z,ret_1m_next_z,vol_3m_z,vol_6m_z,ret_high_negative,ret_negative,ret_flat,ret_positive,ret_high_positive,ret_regime,category_sum
2015-12-31,2043.94,,-0.05073534448173622,,,,,-1.3772926923644382,,,0,0,0,0,0,,0
2016-01-31,1940.24,-0.05073534448173622,-0.004128355255019978,-103.70000000000005,,,-1.3772926923644382,-0.3330541488028859,,,1,0,0,0,0,-2.0,1
2016-02-29,1932.23,-0.004128355255019978,0.0659911087189411,-8.009999999999991,,,-0.3330541488028859,1.237985906569615,,,0,1,0,0,0,0.0,1
2016-03-31,2059.74,0.0659911087189411,0.00269936982337593,127.50999999999976,0.05875658197113577,,1.237985906569615,-0.1800776572938427,0.7085879809951628,,0,0,0,0,1,2.0,1
2016-04-30,2065.3,0.00269936982337593,0.01532949208347456,5.5600000000004,0.038663508355567394,,-0.1800776572938427,0.10290265730518668,-0.022402680377750634,,0,0,0,1,0,0.0,1
2016-05-31,2096.96,0.01532949208347456,0.0009060735540973308,31.659999999999854,0.03349617789352594,,0.10290265730518668,-0.22025680457359045,-0.21039135668725287,,0,0,0,1,0,1.0,1
2016-06-30,2098.86,0.0009060735540973308,0.0356098072286859,1.900000000000091,0.007860989143528447,0.03751911973588142,-0.22025680457359045,0.5572870125611863,-1.1430054473588191,-0.18713993278607532,0,0,1,0,0,0.0,1
2016-07-31,2173.6,0.0356098072286859,-0.0012191755612808164,74.73999999999978,0.017434043876944926,0.02692425728622317,0.5572870125611863,-0.2678734191150811,-0.7947355039531864,-0.6882391282719489,0,0,0,1,0,1.0,1
2016-08-31,2170.95,-0.0012191755612808164,-0.0012344825997834263,-2.650000000000091,0.020677039553180943,0.026437576395198895,-0.2678734191150811,-0.2682163762521416,-0.6767545718391222,-0.7112573981276825,0,1,0,0,0,0.0,1
2016-09-30,2168.27,-0.0012344825997834263,-0.01942562503747225,-2.6799999999998363,0.021267643266291256,0.014573419321318504,-0.2682163762521416,-0.6757924158124061,-0.65526827227561,-1.2723897009855896,0,1,0,0,0,0.0,1
